code,AT scheme code original language,AT scheme code translated,AT Notes,BE scheme code original language,BE Notes,BG scheme code original language,BG scheme code translated,BG Notes,CY scheme code original language,CY Notes,CZ scheme code original language,CZ Notes,DE scheme code original language,DE scheme code translated,DE Notes,DK scheme code original language,DK Notes,EE scheme code original language ,EE scheme code translated,EE Notes,ES scheme code original language,ES Notes,FR scheme code original language,FR scheme code translated,FR Notes,GB scheme code original language,GB Notes,GR scheme code original language,GR scheme code translated,GR Notes,HR scheme code original language,HR scheme code translated,HR Notes,HU scheme code original language,HU scheme code translated,HU Notes,IE scheme code original language,IE Notes,LT scheme code original language,LT scheme code translated,LT Notes,LU scheme code original language,LU Notes,LV scheme code original language,LV scheme code translated,LV Notes,MT scheme code original language,MT Notes,NL scheme code original language,NL scheme code translated,NL Notes,PL scheme code original language,PL scheme code translated,PL Notes,PT scheme code original language,PT Notes,RO scheme code original language,RO scheme code translated,RO Notes,SE scheme code original language,SE Notes,SI scheme code original language,SI Notes,SK scheme code original language,SK Notes
III.7,Beihilfe im Bienenzuchtsektor (7),Aid in the beekeeping sector (7),Description and number correspond,III.7,Number corresponds,EAFRD - ND - Национална пчеларска програма - Национална пчеларска програма,"EAFRD - ND - National Beekeeping Program - National Beekeeping Program ',  /",Only one that mentions apiculture (beekeeping) (KIM: states EAFRD but is listed EAGF). KIM: Deleted leading and trailing space. ,III.7,Number corresponds,,,EGFL: Beihilfen im Bienenzuchtsektor,EAGF: aid in the beekeeping sector / ,Only one that mentions apiculture (beekeeping),Aid in the apiculture sector,Most likely this one as same formulation & only one that mentions apiculture,Mesinduse eritoetus (III.7),Special beekeeping aid (III.7) /,Number and description corresponds,III.7   Aid in the apiculture sector,Number and description corresponds,III.7 - Aide dans le secteur de l'apiculture,III.7 - Aid in the apiculture sector /,Number and description corresponds,Aid in the apiculture sector,Only one that mentions apiculture ,III.7 Ενίσχυση στον τομέα της μελισσοκομίας (ΕΓΤΕ),III.7 Aid for beekeeping (EAGF),Numbers and description corresponds,Posebna potpora za pčelarstvo,Special support for beekeeping / ,Only one that mentions apiculture (beekeeping),,,,Aid to Apicultutre Sector,Only one that mentions apiculture,Parama bitininkystės sektoriui (EAGF - other),Support for the beekeeping sector (EAGF - other),Only one that mentions apiculture,III.7,Number corresponds,Atbalsts biškopības nacionālajai programmai,Support for national apiculture program / ,Only one that mentions apiculture,III.7,Number corresponds,III.07. Honingregeling,III.07. Honey scheme /,"Number corresponding, only one that mentions apiculture KIM: confirmed with Dutch agency",III.7 Pomoc w sektorze rolniczym,III.7. Assistance in the agricultural sector,"Number corresponds,  description doesnt really. Fits nowhere else. ",III.7,Number corresponds,"Ajutor special pentru apicultura - R.1308/13, art.55 R.1234/07, art.108","Special assistance for beekeeping - R.1308 / 13, art.55 R.1234 / 07, art.108","KIM: article numbers fit ""aid in the apiculture sector"" from 1308/2013, art.55. Frida: Description correspond, article numbers don't","Guarantee Fund other: III.7, Aid in the apiculture sector",Description and number corresponds,III.7 Pomoč v sektorju čebelarstva  / Aid in the apiculture sector &nbsp,Number and description corresponding,,
III.8,,,,,,,,,,,,,EGFL: Beihilfe im Hopfensektor,EAGF: aid in the hops sector / ,"Same formulation, only one that mentions hops",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.9,,,,III.9,Number corresponds,,,,,,,,EGFL: Ausfuhrerstattungen,EAGF: export refunds / ,Only one that mentions export refunds,Export refunds,Only one that mentions export refunds,,,,,,,,,Export refunds,Only one that mentions export refunds,,,,,,,,,,,,,,,,,,,,,,III.09.a Exportrestituties voor levende runderen,III.09.a Export refunds for live cattle / ,"Number corresponding, only one that mentions export refunds. KIM: confirmed with Dutch agency. Kim deleted trailing spaces in original. ",III.9 Refundacje wywozowe,III.9. Export refunds,Number and description correspond,III.9,Number corresponds,"Restituiri pentru carnea de pasare - NC 0207 - carne - R.1234/07, art.162(1)a)(viii)","Refunds for poultrymeat - NC 0207 - Meat - R.1234 / 07, Article 162 (1) (a) (viii)","KIM: confirms fits here in Chapter III measures, legislation listed is the one repealed by the current one for this section. Frida: Only one that mentions refunds, numbers don't match. ",,,III.9 Izvozna nadomestila   / Export refunds  &nbsp,"Number corresponding, only one that mentions export refunds",,
III.10,,,,,,EAGF - Кризисни мерки за предоставяне на извънредно подпомагане на производителите на животински продукти - Кризисни мерки за предоставяне на извънредно подпомагане на производителите на животински продукти,EAGF – Crisis Measures to Provide Extraordinary Assistance to Producers of Animal Products - Crisis Measures to Provide Extraordinary Assistance to Producers of Animal Products,"Unsure of this, could also be measure IV/A.5 on row 33. KIM: Deleted leading and trailing space. ",,,,,,,,,,Erakorralised meetmed,Emergency measures,"Description corresponds, as native speaker says:  “emergency” can be lightened up by using “unplanned”, “unscheduled”, “extraordinary” as opposed to a “disaster”",III.10   Aid in the silkworm sector,"Number correspond, description seems a bit off. Fits nowhere else. Kept here as France also used it, and Greece, with this number. (Kim confirms regulation 73/2009 does mention silkworms, right placement.) ",III.10 - Aide pour le secteur du ver à soie,III.10 - Aid for the silkworm sector /,"Number correspond, description seems a bit off. Fits nowhere else. Greece also lists silkworms under this measure ",,,III.10 Ενισχύσεις στον τομέα των μεταξοσκωλήκων - κανονισμός (ΕΕ) αριθ. 1234/2007 (ΕΓΤΕ),III.10 Aid for silkworms - Regulation (EU)1234/2007 (EAGF),Number  corresponds - but regulation number does not. Kim: confirms regulation 73/2009 mentions silkworms. ,,,,,,,,,"Laikinoji parama pieno gamintojams, patyrusiems nuostolių dėl Rusijos Federacijos pieno gaminių importo embargo (ES) (EAGF - other)",Temporary assistance to dairy producers who have suffered losses as a result of the embargo on imports of dairy products from the Russian Federation (EU) (EAGF - other),"FRIDA: Could be this one, could also be measure IV/A.22 on row 50 or measure III.1 on row 19. KIM: Left here as it is EAGF/Pillar I. ",,,,,,,,,,"KIM: removed ""A.05. Buitengewone …"" here and matched with National after Dutch agency input. ",,,,,,Masuri exceptionale de sprijin - Producatori care nu sunt membri ai organizatiilor de producatori - nerecoltare si recoltare inainte de coacere - R.1031/14 art.7&11(a),Exceptional support measures - Producers who are not members of producer organizations - Not harvested and harvested prior to baking - R.1031 / 14 art.7 & 11 (a),"KIM: confirms that 1031/2014 has regard to 1308/2013, so belongs in this section. Frida: Only one that mentions exceptional measures, number doesn't match. ","Guarantee Fund other: III.11, Exceptional measures - Measures against market disturbance",Words match but not numbers.,,,,
IV/A.1,,,,IV/A.1,Number corresponds,,,,,,,,ELER: Wissenstransfer und Informationsmaßnahmen,EAFRD: knowledge transfer and information activities / ,Most likely this one as same formulation ,,,,,,,,,,,Knowledge transfer and information actions,Same formulation,,,,,,,"Komplex tájékoztatási tevékenység: gazdálkodói információs szolgálat (EMVA, EU)","Complex Information Activities: Farmer Information Service (EAFRD, EU)                                                                                                                                                                                                          ","Could be this one but unsure, could also be measure V/B.1.1 on row 54",,,,,,,,,,,,,,,,,,,,,,,,"Rural Development Fund: IV/A.1, knowledge transfer and information actions",Description and number correspond,,,,
IV/A.2,,,,,,,,,,,,,"ELER: Beratungs-, Betriebsführungs- und Vertretungsdienste","EAFRD: advisory, management and representation services / ","Kim: confirmed by DEU: correct, programming period 2014-2020; V/B1.4 und V/1.5 are for the programing period 2007-2013. FRIDA: Could be this one but unsure. Could also be measure V/B.1.4 on row 57 or V/B.1.5 on row 58",,,,,,,,,,,"Advisory services, farm management and farm relief services",Most likely this one as same formulation. Could also be measure V/B.1.4 on row 57 or measure V/B.1.4 on row 58,,,,,,,,,,,,Konsultavimas buhalterinės apskaitos tvarkymo klausimais (EAFRD),Consultation on account management issues (EAFRD),Most likely this one as only one that mentions economic consultation,,,,,,,,,,,,,,IV/A.2,Number corresponds,,,,,,,,,
IV/A.3,,,,,,,,,IV/A.3,Number corresponds,,,,,,,,,,,,,IV/A.3 - Aide aux systèmes de qualité,IV / A.3 - Help with quality systems/,Number and description correspond,Quality schemes for agricultural products and foodstuffs,Same formulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV/A.4,,,,IV/A.4,Number corresponds,"EAFRD - ND - Подмярка 4.1 ""Инвестиции в земеделски стопанства"" и 4.2 ""Инвестиции в преработка/маркетинг на селскостопански продукти"" - Подмярка 4.1 ""Инвестиции в земеделски стопанства"" и 4.2 ""Инвестиции в преработка/маркетинг на селскостопански продукти""","EAFRD - ND - Sub-measure 4.1 ""Investments in agricultural holdings"" and 4.2 ""Investment in processing / marketing of agricultural products"" - Sub-measure 4.1 ""Investments in agricultural holdings"" and 4.2 ""Investment in processing / marketing of agricultural products"" / ","Could also be measure V/B.1.8 on row 61. KIM: Kept here, matches with 2018 Measure number 4. ",IV/A.4,Number corresponds,,,ELER: Investitionen in materielle Vermögenswerte,EAFRD: investment in material assets,Only one that mentions material/physical assets,,,EKF 1.3 Kalalaevade pardal tehtavad investeeringud ja selektiivsus,EKF 1.3 Investments on board fishing vessels and selectivity / ,"Number doesn't correspond, description kind of does? Only one that mentions investments in physical assets",IV/A.4   Investments in physical assets,Number and description corresponds,IV/A.4 - Soutien aux investissements physiques,IV / A.4 - Support for physical investments /,Number and description correspond,Investments in physical assets,Same formulation,,,,Investicijska potpora u poljoprivredi i ribarstvu,Investment support in agriculture and fisheries / ,"Unsure, could also be measure IV/A.6 on row 34. KIM: Left here, both EAFRD. ","Európai Mezõgazdasági Vidékfejlesztési Alapból finanszírozott erdõszerkezet-átalakítása (EMVA, EU)","Development of forest structure financed by the European Agricultural Fund for Rural Development (EAFRD, EU)","Kim moved from I.7 to IV/A.4 to fit with EAFRD. Frida: Kind of fits """"areas subject to restructuring and development"", fits no where else",,,,,,,,,,,,,,,,,,,IV/A.4,Number corresponds,,,,"Rural Development Fund: IV/A.4, investments in physical assets",Description and number correspond,,,,
IV/A.5,,,,,,,,,,,,,ELER: Küsten- und Hochwasserschutz (Förderperiode 2014 - 2020),EAFRD: Coastal and flood protection (funding period 2014 - 2020) / ,"KIM: Confirmed by DEU agency this is correct placement for the specified period (V/B.1.11 is for 2007-2013). FRIDA: Unsure, could be this one as it mostly mentions preventive actions (protection). Could also be measure V/B.1.11 on row 64",,,,,,,,,,,,,,,,Obnavljanje poljoprivrednog proizvodnog potencijala narušenog elementarnim nepogodama i katastrofalnim događajima - Mjera 5                                                                                                                                                                                                 ,Restoration of agricultural production potential damaged by natural disasters and catastrophic events - Measure 5  / ,Likely this one bcs number and description corresponds. Kim deleted trailing spaces. ,,,,,,,,,,,,,,,,,,,,,,IV/A.5,Number corresponds,,,,,,,,,
IV/A.6,,,,IV/A.6,Number corresponds,EAFRD - ND - Подмярка 6.3-Развитие на стопанството и стопанската дейност. - Подмярка 6.3-Развитие на стопанството и стопанската дейност.,"EAFRD - ND - Sub-measure 6.3-Development of the economy and business. - Sub-measure 6.3-Development of the holding and business. ', / ",Number corresponding and mentions business & holdings. KIM: Matches Measure 6.  ,,,,,ELER: Entwicklung der landwirtschaftlichen Betriebe und sonstiger Unternehmen,EAFRD: development of farms and other businesses / ,Most likely this one as only one that mentions development of farms + businesses,,,6.3 Väikeste põllumaj.ev arendamine (IV/A.6),6.3 Development of Small Farm (IV / A.6) / ,Number and description corresponds,IV/A.6   Farm and business development,Number and description corresponds,IV/A.6 - Développement des exploitations agricoles et des entreprises,IV / A.6 - Development of agricultural holdings and enterprises /,Number and description corresponds,Farm and business development,"Most likely this one as same formulation, could also be measure V/B.3.2 on row 86",,,,,,,"EMVA - Mezõgazdasági termelõk gazdaságátadásához nyújtandó támogatás (EMVA, EU)","EAFRD - Aid for the transfer of agricultural production (EAFRD, EU)",Only one that mentions transfer of agr. Holdings,,,Parama smulkiesiems ūkiams (2014-2020) (EAFRD),Small Farm Support (2014-2020) (EAFRD),"FRIDA: Most likely this one, could also be measure IV/A.6 on row 34. KIM: Moved here from II.9 because EAFRD/Pillar II.  ",,,,,"Kim moved ""Esošo uzņēmumu attīstība"" from here to V/B.3.2 on advice of LV agency. ",,,,,,,,,IV/A.6,Number corresponds,,,"KIM: Moved ""M312 - Infiintarea si dezvoltarea Intreprinderilor"" from here to match with M312 (V/B.3.2) below. FRIDA: Description corresponds","Rural Development Fund: IV/A.6, farm and business development",Description and number correspond,,,,
